Date,Positive,EndQuarantine,UnderQuarantine,Death,UnderExamination,Negative,Total,NewPositive,NewEndQuarantine
2020-01-21,1,0,1,0,3,7,11,0,0
2020-01-24,2,0,2,0,0,25,27,1,0
2020-01-26,3,0,3,0,1,47,51,1,0
2020-01-27,4,0,4,0,1,56,61,1,0
2020-01-30,6,0,6,0,41,199,246,2,0
2020-01-31,7,0,7,0,41,199,247,1,0
2020-02-01,12,0,12,0,70,289,371,5,0
2020-02-02,15,0,15,0,87,327,429,3,0
2020-02-04,16,0,16,0,129,462,607,1,0
2020-02-05,18,0,18,0,174,522,714,2,0
2020-02-06,20,0,20,0,169,693,882,2,0
2020-02-07,24,0,24,0,264,842,1130,4,0
2020-02-08,24,0,24,0,620,1057,1701,0,0
2020-02-09,25,3,22,0,960,1355,2340,1,3
2020-02-10,27,3,24,0,809,1940,2776,2,0
2020-02-11,28,4,24,0,865,2736,3629,1,1
2020-02-12,28,4,24,0,992,4054,5074,0,0
2020-02-13,28,7,21,0,562,5921,6511,0,3
2020-02-14,28,7,21,0,535,6679,7242,0,0
2020-02-15,28,9,19,0,558,7148,7734,0,2
2020-02-16,29,9,20,0,577,7313,7919,1,0
2020-02-17,30,9,21,0,408,7733,8171,1,0
2020-02-18,31,10,21,0,957,8277,9265,1,1
2020-02-19,46,12,34,0,1030,9335,10411,15,2
2020-02-20,82,16,66,1,1633,10446,12161,36,4
2020-02-21,156,16,139,1,2707,11953,14816,74,0
2020-02-22,346,17,327,2,5481,13794,19621,190,1
2020-02-23,556,18,534,4,6039,16038,22633,210,1
2020-02-24,763,18,738,7,8725,19127,28615,207,0
2020-02-25,893,22,863,8,13273,22550,36716,130,4
2020-02-26,1146,22,1113,11,16734,28247,46127,253,0
2020-02-27,1595,24,1559,12,21097,35298,57990,449,2
2020-02-28,2022,26,1983,13,24751,44167,70940,427,2
2020-02-29,3150,28,3105,17,35182,55723,94055,1128,2
2020-03-01,3736,30,3688,18,33360,61825,98921,586,2
2020-03-02,4212,31,4159,22,33799,71580,109591,476,1
2020-03-03,4812,34,4750,28,35555,85484,125851,600,3
2020-03-04,5328,41,5255,32,28414,102965,136707,516,7
2020-03-05,5766,88,5643,35,21810,118965,146541,438,47
2020-03-06,6284,108,6134,42,21832,136624,164740,518,20
2020-03-07,6767,118,6605,44,19620,151802,178189,483,10
2020-03-08,7134,130,6954,50,19376,162008,188518,367,12
2020-03-09,7382,166,7165,51,17458,171778,196618,248,36
2020-03-10,7513,247,7212,54,18452,184179,210144,131,81
2020-03-11,7755,288,7407,60,18540,196100,222395,242,41
2020-03-12,7869,333,7470,66,17727,209402,234998,114,45
2020-03-13,7979,510,7402,67,17940,222728,248647,110,177
2020-03-14,8086,714,7300,72,17634,235615,261335,107,204
2020-03-15,8162,834,7253,75,16272,243778,268212,76,120
2020-03-16,8236,1137,7024,75,14971,251297,274504,74,303
2020-03-17,8320,1401,6838,81,17291,261105,286716,84,264
2020-03-18,8413,1540,6789,84,16346,270888,295647,93,139
2020-03-19,8565,1947,6527,91,15904,282555,307024,152,407
2020-03-20,8652,2233,6325,94,15525,292487,316664,87,286
2020-03-21,8799,2612,6085,102,15704,303006,327509,147,379
2020-03-22,8897,2909,5884,104,14540,308343,331780,98,297
2020-03-23,8961,3166,5684,111,13628,315447,338036,64,257
2020-03-24,9037,3507,5410,120,15440,324105,348582,76,341
2020-03-25,9137,3730,5281,126,14278,334481,357896,100,223
2020-03-26,9241,4144,4966,131,14369,341332,364942,104,414
2020-03-27,9332,4528,4665,139,15219,352410,376961,91,384
2020-03-28,9478,4811,4523,144,16564,361883,387925,146,283
2020-03-29,9583,5033,4398,152,15028,369530,394141,105,222
2020-03-30,9661,5228,4275,158,13531,372002,395194,78,195
2020-03-31,9786,5408,4216,162,16892,383886,410564,125,180
2020-04-01,9887,5567,4155,165,16585,395075,421547,101,159
2020-04-02,9976,5828,3979,169,17885,403882,431743,89,261
2020-04-03,10062,6021,3867,174,18908,414303,443273,86,193
2020-04-04,10156,6325,3654,177,20144,424732,455032,94,304
2020-04-05,10237,6463,3591,183,19571,431425,461233,81,138
2020-04-06,10284,6598,3500,186,19295,437225,466804,47,135
2020-04-07,10331,6694,3445,192,20650,446323,477304,47,96
2020-04-08,10384,6776,3408,200,17858,457761,486003,53,82
2020-04-09,10423,6973,3246,204,15509,468779,494711,39,197
2020-04-10,10450,7117,3125,208,15298,477303,503051,27,144
2020-04-11,10480,7243,3026,211,14070,485929,510479,30,126
2020-04-12,10512,7368,2930,214,13788,490321,514621,32,125
2020-04-13,10537,7447,2873,217,13391,494815,518743,25,79
2020-04-14,10564,7534,2808,222,14651,502223,527438,27,87
2020-04-15,10591,7616,2750,225,15026,508935,534552,27,82
2020-04-16,10613,7757,2627,229,14268,513894,538775,22,141
2020-04-17,10635,7829,2576,230,14186,521642,546463,22,72
2020-04-18,10653,7937,2484,232,13550,530631,554834,18,108
2020-04-19,10661,8042,2385,234,12243,536205,559109,8,105
2020-04-20,10674,8114,2324,236,11981,540380,563035,13,72