Date,Type,Total,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju,Quarantine
2020-02-24,under quarantine,763,30,17,443,2,9,3,1,1,35,6,3,1,3,1,186,20,2,0
2020-02-25,under quarantine,893,36,38,499,2,9,3,2,1,40,6,3,1,3,2,225,21,2,0
2020-02-26,under quarantine,1146,45,50,677,3,9,3,3,1,43,6,5,2,3,1,268,25,2,0
2020-02-27,under quarantine,1595,55,58,1017,3,9,8,6,1,55,6,7,7,3,1,321,36,2,0
2020-02-28,under quarantine,2022,62,63,1314,4,9,13,11,1,66,6,9,16,5,1,394,46,2,0
2020-02-29,under quarantine,2931,74,77,2055,6,9,14,17,1,76,7,10,48,5,2,469,59,2,0
2020-03-01,under quarantine,3526,82,81,2569,6,9,13,17,1,84,7,11,60,5,3,514,62,2,0
2020-03-02,under quarantine,4932,91,88,3801,7,9,14,20,1,92,19,11,78,6,5,624,64,2,0
2020-03-03,under quarantine,4812,98,90,3601,7,11,14,20,1,94,20,11,81,7,5,685,64,3,0
2020-03-04,under quarantine,5328,99,93,4006,9,13,15,23,1,101,21,11,82,7,5,774,65,3,0
2020-03-05,under quarantine,5557,78,89,4286,7,11,16,23,1,99,20,11,0,5,4,832,71,4,0
2020-03-05,end quarantine,88,25,2,14,2,3,0,0,0,10,3,1,0,2,0,23,3,0,0
2020-03-05,death,35,0,1,27,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0
2020-03-06,under quarantine,6134,80,92,4649,7,10,18,22,1,105,22,14,90,5,4,938,73,4,0
2020-03-06,end quarantine,108,25,2,15,2,3,0,1,0,14,3,1,0,2,0,36,4,0,0
2020-03-06,death,42,0,1,30,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0
2020-03-07,under quarantine,6605,81,93,5035,7,10,18,22,2,115,22,19,92,5,4,998,78,4,0
2020-03-07,end quarantine,118,27,2,18,2,3,0,1,0,14,3,1,0,2,0,41,4,0,0
2020-03-07,death,44,0,1,31,0,0,0,0,0,1,1,0,0,0,0,10,0,0,0
2020-03-08,end quarantine,130,28,9,18,2,3,1,1,0,16,3,1,0,2,0,42,4,0,0
2020-03-08,death,50,0,1,35,0,0,0,0,0,1,1,0,0,0,0,12,0,0,0
2020-03-08,under quarantine,6954,92,87,5328,7,10,17,23,3,124,23,23,98,5,4,1027,79,4,0
2020-03-09,under quarantine,7165,101,86,5515,7,12,18,23,6,129,24,22,101,5,3,1036,74,3,0
2020-03-09,end quarantine,166,29,10,21,2,3,1,1,0,22,3,3,1,2,1,57,9,1,0
2020-03-09,death,51,0,0,35,0,0,0,0,0,1,1,0,0,0,0,14,0,0,0
2020-03-10,under quarantine,7212,110,86,5533,10,12,17,23,8,140,21,22,103,5,3,1043,73,3,0
2020-03-10,end quarantine,247,31,10,92,3,3,1,1,0,22,6,3,1,2,1,60,10,1,0
2020-03-10,death,54,0,0,38,0,0,0,0,0,1,1,0,0,0,0,14,0,0,0
2020-03-11,death,60,0,1,43,0,0,0,0,0,1,1,0,0,0,0,14,0,0,0
2020-03-11,under quarantine,7407,156,76,5649,22,12,16,23,10,149,22,24,111,5,3,1052,74,3,0
2020-03-11,end quarantine,288,37,21,102,3,3,2,2,0,25,6,3,1,2,1,69,10,1,0
2020-03-12,death,66,0,0,48,0,0,0,0,0,1,1,0,0,0,0,16,0,0,0
2020-03-12,end quarantine,333,38,29,114,4,4,2,3,0,27,6,4,5,2,1,83,10,1,0
2020-03-12,under quarantine,7470,174,70,5705,21,11,18,22,15,150,22,23,109,5,3,1044,75,3,0
2020-03-13,under quarantine,7402,185,64,5629,23,11,18,24,32,152,22,23,108,3,3,1028,74,3,0
2020-03-13,end quarantine,510,40,36,251,4,4,4,3,0,31,6,4,7,4,1,103,11,1,0
2020-03-13,death,67,0,0,48,0,0,0,0,0,2,1,0,0,0,0,16,0,0,0
2020-03-14,death,72,0,0,51,0,0,0,0,0,3,1,0,0,0,0,17,0,0,0
2020-03-14,under quarantine,7300,194,63,5538,24,11,18,22,38,161,22,23,106,3,2,998,74,3,0
2020-03-14,end quarantine,714,44,40,401,4,4,4,5,0,36,6,5,9,4,2,138,11,1,0
2020-03-15,end quarantine,834,47,52,468,4,4,4,6,0,40,7,6,10,4,2,163,16,1,0
2020-03-15,death,75,0,1,53,0,0,0,0,0,3,1,0,0,0,0,17,0,0,0
2020-03-15,under quarantine,7253,200,53,5510,26,12,18,22,39,168,21,25,105,3,2,977,69,3,0
2020-03-16,death,75,0,1,53,0,0,0,0,0,3,1,0,0,0,0,17,0,0,0
2020-03-16,under quarantine,7024,201,53,5279,26,12,18,21,40,180,21,25,103,3,2,969,65,2,4
2020-03-16,end quarantine,1137,52,53,734,4,4,4,7,0,48,7,6,12,4,2,178,20,2,0
2020-03-17,under quarantine,6838,210,52,5094,26,10,18,20,40,204,20,26,100,3,2,941,64,2,6
2020-03-17,end quarantine,1401,55,54,947,5,6,4,8,0,55,8,5,15,4,2,209,22,2,0
2020-03-17,death,81,0,1,57,0,0,0,0,0,3,1,0,0,0,0,19,0,0,0
2020-03-18,under quarantine,6789,215,48,5038,27,11,18,21,41,215,21,27,102,4,3,922,63,2,11
2020-03-18,end quarantine,1540,55,58,1048,5,6,4,9,0,59,8,5,16,5,2,235,23,2,0
2020-03-18,death,84,0,1,58,0,0,0,0,0,3,1,0,0,0,0,21,0,0,0
2020-03-19,end quarantine,1947,58,58,1382,6,7,4,9,0,64,9,5,31,5,3,275,29,2,0
2020-03-19,death,91,0,1,65,0,0,0,0,0,3,1,0,0,0,0,21,0,0,0
2020-03-19,under quarantine,6527,224,48,4794,26,10,18,27,41,228,20,28,87,5,2,894,57,2,16
2020-03-20,under quarantine,6325,235,47,4631,29,8,17,25,41,240,19,27,87,3,2,841,54,2,17
2020-03-20,end quarantine,2233,64,60,1577,7,10,5,11,0,66,10,6,32,7,3,340,33,2,0
2020-03-20,death,94,0,1,67,0,0,0,0,0,3,1,0,0,0,0,22,0,0,0
2020-03-21,under quarantine,6085,250,40,4410,33,8,17,25,39,239,17,26,80,3,2,824,47,2,23
2020-03-21,end quarantine,2612,64,67,1861,7,10,5,11,2,79,12,8,39,7,3,395,40,2,0
2020-03-21,death,102,0,1,73,0,0,0,0,0,3,1,0,0,0,0,24,0,0,0
2020-03-22,death,104,0,1,75,0,0,0,0,0,3,1,0,0,0,0,24,0,0,0
2020-03-22,under quarantine,5884,260,38,4205,32,9,18,24,38,252,16,26,81,3,3,798,46,1,34
2020-03-22,end quarantine,2909,64,69,2107,8,10,6,12,3,82,13,9,39,7,3,432,42,3,0
2020-03-23,death,111,0,1,82,0,0,0,0,0,3,1,0,0,0,0,24,0,0,0
2020-03-23,under quarantine,5684,266,37,4024,32,9,18,19,39,260,15,28,76,3,3,763,44,1,47
2020-03-23,end quarantine,3166,64,71,2305,8,10,6,17,3,88,14,9,44,7,3,469,45,3,0
2020-03-24,under quarantine,5410,262,39,3783,33,8,18,18,39,265,15,27,64,3,3,724,42,0,67
2020-03-24,end quarantine,3507,72,71,2571,8,11,6,18,3,97,14,11,56,7,3,507,48,4,0
2020-03-24,death,120,0,1,88,0,0,0,0,0,4,1,0,0,0,0,26,0,0,0
2020-03-25,under quarantine,5281,275,38,3624,32,8,18,18,41,283,15,25,58,3,5,696,39,2,101
2020-03-25,end quarantine,3730,72,73,2740,10,11,6,19,3,100,15,13,65,7,3,538,51,4,0
2020-03-25,death,126,0,1,92,0,0,0,0,0,4,1,0,0,0,0,28,0,0,0
2020-03-26,death,131,0,2,94,0,0,0,0,0,4,1,0,0,0,0,30,0,0,0
2020-03-26,under quarantine,4966,280,35,3349,32,8,24,17,36,275,12,25,56,3,5,643,33,2,131
2020-03-26,end quarantine,4144,80,75,3039,11,11,6,20,8,122,18,14,68,7,3,601,57,4,0
2020-03-27,under quarantine,4665,283,30,3094,33,9,22,19,35,277,10,24,46,3,5,599,29,3,144
2020-03-27,end quarantine,4528,89,81,3324,13,11,9,20,9,131,20,17,78,7,3,650,62,4,0
2020-03-27,death,139,0,2,98,0,0,0,0,0,4,1,0,0,0,0,34,0,0,0
2020-03-29,under quarantine,4398,317,29,2798,43,9,20,20,35,299,12,20,44,5,6,518,30,4,189
2020-03-29,end quarantine,5033,93,85,3706,15,11,14,19,11,144,21,21,83,7,3,732,64,4,0
2020-03-29,death,152,0,3,106,0,0,0,0,0,5,1,0,0,0,0,37,0,0,0
2020-03-30,end quarantine,5228,92,87,3837,15,13,17,19,12,160,21,21,83,7,3,772,65,4,0
2020-03-30,under quarantine,4275,334,28,2676,43,7,17,20,34,298,14,23,44,6,6,488,30,5,202
2020-03-30,death,158,0,3,111,0,0,0,0,0,5,1,0,0,0,0,38,0,0,0
2020-03-31,end quarantine,5408,107,87,3946,16,14,18,19,12,166,23,22,90,7,3,808,67,3,0
2020-03-31,under quarantine,4216,343,29,2624,48,6,18,20,34,304,12,22,38,6,6,454,29,6,217
2020-03-31,death,162,0,3,114,0,0,0,0,0,6,1,0,0,0,0,38,0,0,0
2020-04-01,under quarantine,4155,357,32,2519,50,10,18,18,34,322,14,21,40,7,9,441,33,6,224
2020-04-01,end quarantine,5567,117,87,4070,19,14,18,20,12,171,23,23,91,7,3,822,67,3,0
2020-04-01,death,165,0,3,115,0,0,0,1,0,6,1,0,0,0,0,39,0,0,0
2020-04-02,under quarantine,3979,361,32,2325,53,11,18,18,34,329,15,21,38,7,11,423,36,6,241
2020-04-02,end quarantine,5828,127,87,4283,20,14,18,21,12,181,23,23,95,7,3,840,70,3,1
2020-04-02,death,169,0,3,117,0,0,0,1,0,6,1,0,0,0,0,41,0,0,0
2020-04-03,under quarantine,3867,375,31,2179,53,11,18,18,34,347,17,20,37,8,12,402,36,6,263
2020-04-03,end quarantine,6021,131,88,4434,21,15,18,21,12,186,23,25,97,7,3,865,71,3,1
2020-04-03,death,174,0,3,121,0,0,0,1,0,6,1,0,0,0,0,42,0,0,0
2020-04-04,under quarantine,3654,384,29,1966,55,11,18,15,31,356,18,18,33,8,11,385,33,5,278
2020-04-04,end quarantine,6325,144,90,4673,22,15,18,24,15,200,23,27,102,7,4,881,75,4,1
2020-04-04,death,177,0,3,122,0,0,0,1,0,6,1,0,0,0,0,44,0,0,0
2020-04-06,under quarantine,3500,412,28,1787,53,12,20,12,29,360,21,16,34,9,11,349,31,8,308
2020-04-06,end quarantine,6598,151,91,4865,27,15,19,27,17,213,23,29,102,7,4,922,80,4,2
2020-04-06,death,186,0,3,129,0,0,0,1,0,7,1,0,0,0,0,45,0,0,0
2020-04-07,under quarantine,3445,403,29,1742,53,12,19,11,29,357,22,16,33,9,11,337,32,8,322
2020-04-07,end quarantine,6694,164,91,4918,27,15,20,28,17,226,24,29,104,7,4,934,80,4,2
2020-04-07,death,192,0,3,134,0,0,0,1,0,7,1,0,0,0,0,46,0,0,0
2020-04-08,under quarantine,3408,407,28,1705,57,12,19,11,32,349,24,16,31,10,11,320,33,8,335
2020-04-08,end quarantine,6776,169,94,4961,27,15,20,28,14,237,24,29,106,7,4,954,80,4,3
2020-04-08,death,200,2,3,137,0,0,0,1,0,10,1,0,0,0,0,46,0,0,0
2020-04-09,under quarantine,3246,414,25,1562,53,12,19,11,30,336,24,15,33,10,11,305,33,8,345
2020-04-09,end quarantine,6973,174,97,5106,31,15,20,28,16,259,24,30,105,7,4,968,82,4,3
2020-04-09,death,204,2,3,139,0,0,0,1,0,11,1,0,0,0,0,47,0,0,0
2020-04-10,under quarantine,3125,408,25,1472,51,12,18,11,26,335,22,17,33,9,11,285,33,8,349
2020-04-10,end quarantine,7117,185,98,5193,34,15,21,28,20,269,26,28,105,8,4,994,82,4,3
2020-04-10,death,208,2,3,142,0,0,0,1,0,11,1,0,0,0,0,48,0,0,0
2020-04-11,under quarantine,3026,402,23,1398,50,10,17,10,26,327,22,17,32,9,10,278,32,8,355
2020-04-11,end quarantine,7243,195,100,5271,35,17,22,30,20,286,26,28,106,8,5,1004,83,4,3
2020-04-11,death,211,2,3,145,0,0,0,1,0,11,1,0,0,0,0,48,0,0,0
2020-04-12,under quarantine,2930,398,20,1314,48,8,16,8,24,324,21,16,31,9,10,271,31,8,373
2020-04-12,end quarantine,7368,202,103,5356,38,19,23,32,22,292,27,29,108,8,5,1013,84,4,3
2020-04-12,death,214,2,3,146,0,0,0,1,0,12,1,0,0,0,0,49,0,0,0
2020-04-13,under quarantine,2873,394,20,1277,48,8,16,7,24,313,20,14,30,9,9,267,31,7,379
2020-04-13,end quarantine,7447,214,103,5395,39,19,23,33,22,305,28,31,109,8,6,1020,84,5,3
2020-04-13,death,217,2,3,147,0,0,0,1,0,13,1,0,0,0,0,50,0,0,0
2020-04-14,under quarantine,2808,382,20,1230,46,6,15,8,25,313,19,14,26,9,9,263,31,7,385
2020-04-14,end quarantine,7534,228,103,5440,42,21,24,33,21,313,29,31,113,8,6,1029,84,5,4
2020-04-14,death,222,2,3,152,0,0,0,1,0,13,1,0,0,0,0,50,0,0,0
2020-04-15,under quarantine,2750,376,17,1182,40,7,15,8,25,310,23,14,25,9,8,263,31,8,389
2020-04-15,end quarantine,7616,239,107,5486,48,21,24,33,21,322,27,31,114,8,7,1035,84,5,4
2020-04-15,death,225,2,3,155,0,0,0,1,0,13,1,0,0,0,0,50,0,0,0
2020-04-16,under quarantine,2627,367,16,1083,37,6,14,7,25,305,24,11,24,8,8,258,33,8,393
2020-04-16,end quarantine,7757,250,111,5586,51,22,25,34,21,330,27,34,115,9,7,1044,82,5,4
2020-04-16,death,229,2,3,158,0,0,0,1,0,14,1,0,0,0,0,50,0,0,0
2020-04-17,under quarantine,2576,351,15,1042,38,8,15,7,22,296,23,8,24,8,8,269,31,8,403
2020-04-17,end quarantine,7829,268,112,5626,51,22,25,34,24,340,28,37,115,9,7,1037,84,5,5
2020-04-17,death,230,2,3,159,0,0,0,1,0,14,1,0,0,0,0,50,0,0,0
2020-04-18,under quarantine,2484,346,15,985,35,8,14,7,21,279,24,7,22,8,8,261,32,7,405
2020-04-18,end quarantine,7937,274,112,5685,55,22,25,34,25,361,28,38,119,9,7,1046,84,6,7
2020-04-18,death,232,2,3,160,0,0,0,1,0,14,1,0,0,0,0,51,0,0,0
2020-04-19,under quarantine,2385,334,12,928,36,8,14,7,17,270,23,7,19,8,7,251,31,7,406
2020-04-19,end quarantine,8042,288,115,5743,55,22,25,34,29,370,28,38,122,9,8,1057,85,6,8
2020-04-19,death,234,2,3,161,0,0,0,1,0,14,2,0,0,0,0,51,0,0,0
2020-04-20,under quarantine,2324,318,14,901,36,8,13,8,17,255,23,7,19,8,7,246,29,7,408
2020-04-20,end quarantine,8114,304,115,5769,56,22,26,34,29,387,28,38,122,9,8,1064,87,6,10
2020-04-20,death,236,2,3,163,0,0,0,1,0,14,2,0,0,0,0,51,0,0,0
